artist,track,peak_position,peak_position_grouped,weeks_in_charts,spotify_id,explicit,spotify_popularity
Ashe,Moral Of The Story,71,15,2,2nC3QhMI9reBIOWutbU3Tj,True,82
Bad Bunny,Solia,94,19,1,7sOfmPd18RWp3FoCzpa7Kw,True,76
Billie Eilish,No Time To Die,16,4,3,73SpzrcaHk0RQPFP73vqVR,False,82
SHAED,Trampoline,13,3,39,0lsRatBUs9HNIZAmoGABzk,False,71
Jonas Brothers,Sucker,1,1,47,22vgEDb5hykfaTwLuskFGD,False,85
Ed Sheeran & Justin Bieber,I Don't Care,2,1,39,2Xqm0jHnkvjzrkkVRInzUB,False,48
YoungBoy Never Broke Again,Red Eye,47,10,1,3qHgGyJY4GpXNOK4WL4NSo,True,66
Jonas Brothers,Only Human,18,4,36,0DiDStADDVh3SvAsoJAFMk,False,80
YoungBoy Never Broke Again,Fine By Time,58,12,1,0KVEBQA98JvkmB5ZydQ13k,True,62
YoungBoy Never Broke Again,Bad Bad,59,12,1,2OUY5NdALupSoIQN9ZBH1a,True,66
YoungBoy Never Broke Again,Knocked Off,60,12,1,7MYFKS7XpVz1JQDK38pr8N,True,64
YoungBoy Never Broke Again,RIP Lil Phat,80,16,1,5YEAvnL3klXUE7etBXvMlp,True,61
BTS,My Time,84,17,1,4vTgx6h4seHvkuFh84JXYP,False,76
YoungBoy Never Broke Again,Long RD,85,17,1,4RhRDVXc3xFojyyjyh1jmN,True,59
BTS,Filter,87,18,1,0ono6UCNVZ1XqOm6j78Blu,False,78
YoungBoy Never Broke Again,Bat Man,89,18,1,6fEdWrEYspdneQMNIT33I4,True,59
Selena Gomez,Rare,30,6,7,7HMmFQsKsljwTw8bS7lu19,False,77
A Boogie Wit da Hoodie,Me And My Guitar,58,12,2,6cZH4rX1KTt1aJ3Ql6Ynja,True,76
Selena Gomez,Feel Me,98,20,1,6XXYdF6pJR1K3wKvuxmu7n,False,74
Lizzo,Truth Hurts,1,1,42,3HWzoMvoF3TQfYg4UPszDq,True,80
A Boogie Wit da Hoodie,Thug Love,73,15,1,4MzhmCOgPB7xb87f1CXjlA,True,65
Nicki Minaj,Yikes,23,5,2,75dLEqanQTupF3dtP9exT5,True,76
Justin Bieber,Come Around Me,86,18,1,2o9LAypwGH4ctV0i9boo6d,False,74
A Boogie Wit da Hoodie,King Of My City,69,14,3,3o0nkjyy6eZL5lZcEpvJec,True,67
A Boogie Wit da Hoodie,Cinderella Story,95,19,1,18AIesWCXvIbXu8RqQw1E1,True,62
Justin Bieber,Habitual,98,20,1,40qyPyljksBEqlNw5sW37T,False,71
Justin Bieber,All Around Me,100,20,1,5Py8zRKGkZvgHniVVtvNCN,False,70
Luke Combs,Even Though I'm Leaving,11,3,24,5Fhe63YOMZsGdB3CgCDuBi,False,75
Jon Pardi,Heartache Medication,42,9,20,6ZvAXIWw3rw8WR0Xlmifri,False,68
DaBaby,VIBEZ,21,5,20,0fySG6A6qLE8IvDpayb5bM,True,81
Joji,Run,68,14,1,6p8eEdiZLKJH8tcjGZuNTK,False,76
Anuel AA,KEII,83,17,1,5eEQCfq7MXQr6aHLNRUZLs,False,81
Don Toliver,No Idea,43,9,11,7AzlLxHn24DxjgQX73F9fU,False,84
Niall Horan,No Judgement,97,20,1,5IUOU5xkzGHsRFOYNu3GSK,False,76
Baby Keem,ORANGE SODA,98,20,3,5FkoSXiJPKTNyYgALRJFhD,True,78
Taylor Swift,Only The Young,50,10,1,2slqvGLwzZZYsT4K4Y1GBC,False,71
Demi Lovato,Anyone,34,7,2,18ssFhD04lWo1RzpcohnrG,True,68
Lil Wayne,Mahogany,61,13,1,5f9JYuHSIHjp6rggue13RS,True,60
Mac Miller,Good News,17,4,4,1DWZUa5Mzf2BwzpHtgbHPY,False,76
Lil Wayne,Mama Mia,87,18,1,7K8vPC3GPWafq2zXHuUGXz,True,57
Lil Wayne,Funeral,88,18,1,4y1GxT1XnufGddKkrFkbtC,True,51
NLE Choppa,Camelot,37,8,20,4sWuPniHClkInYAnzXAYUF,True,81
Lil Nas X,Panini,5,1,32,4SDgTLDYrJ2UrHbkRkg7MD,False,79
Halsey,Graveyard,34,7,20,2ufmtcIFdFpuUYBPXK5f67,False,80
Mac Miller,Blue World,38,8,2,2hwOoMtWPtTSSn6WHV7Vp5,True,75
Eminem,Darkness,28,6,2,5SiZJoLXp3WOl3J4C8IK0d,True,72
Camila Cabello,First Man,94,19,1,6TRt2bniIq0EIlrDlje7b8,False,70
Ali Gatie,What If I Told You That I Love You,95,19,1,74D7JUfU6HYeMx4bZhsHnG,False,76
Mac Miller,Circles,48,10,1,4jXl6VtkFFKIt3ycUQc5LT,False,69
BTS,Black Swan,57,12,1,24NuEDgyRIljwSyY0lsr7b,False,75
Mac Miller,Complicated,63,13,1,3WfSNAoj2D8C9noPSGZZFM,False,64
Mac Miller,Hand Me Downs,64,13,1,2Yv2mHzr5AQavVdwQjEokV,False,66
Eminem,Premonition (Intro),67,14,1,7ccTcabbJlCJiIqtrSSwBk,True,69
Mac Miller,I Can See,68,14,1,3R8CyhJfVjvgIROd5RSGhQ,False,62
Eminem,In Too Deep,71,15,1,7Dj2wqPYXfSRFwa6qyOztr,True,69
Mac Miller,Woods,75,15,1,3Qa944OTMZkg8DHjET8JQv,False,65
Mac Miller,Everybody,80,16,1,1OuN92HcVG6NVpWbeESNB3,False,63
Eminem,Marsh,83,17,1,34d7sGX6WUqq8f04e7CSNF,True,69
Mac Miller,Surf,91,19,1,1kwnxJNVl7cwcU98RvMBaR,False,66
Eminem,Stepdad,93,19,1,3QVHSV8YKYq4L8tI5rnFgj,True,68
Mac Miller,That's On Me,100,20,1,0udOCZp7yk0Ml92C0k8H8D,False,61
Khalid,Talk,3,1,46,6TqXcAFInzjp0bODyvrWEq,False,78
Lady Antebellum,What If I Never Get Over You,40,8,21,0qkdE1C0ufnUISKwhg8Wh6,False,71
Taylor Swift,Lover,10,2,22,1dGr1c8CrMLDpV6mPbImSI,False,80
Summer Walker,Playing Games,16,4,20,2xyx0o4xNOLLjBSbOOdcbA,True,77
Thomas Rhett,Remember You Young,53,11,18,3LK6wDkhbTyg8GhJidU9oC,False,68
Khalid,Eleven,83,17,1,18O00Y7yrkJ0pRXm1n21Og,False,76
John Legend,Conversations In The Dark,86,18,1,6TYlDTa9AQDvjqwbxlvFyI,False,72
Selena Gomez,Look At Her Now.,27,6,4,7eOkHIcaoUhngxxypM5Ajr,False,76
Niall Horan,Nice To Meet Ya,63,13,14,3cphb8kdsjElYR7r5icK3H,False,77
Olivia Rodrigo,All I Want,90,18,2,4Yxc55NX3tAXC2mHRAhtcW,False,77
DaBaby,Suge,7,2,37,2gwkD6igEhQbDQegRCcdoB,True,81
Lil Tjay,20/20,94,19,1,4Hqh0dS4x07zuRw6eBTO7p,True,73
Joji,Slow Dancing In The Dark,69,14,13,0rKtyWc8bvkriBthvHKY8d,True,84
Ant Saunders,Yellow Hearts,81,17,8,2W4yABdLc4Jnds67Poi5Nl,False,80
Juice WRLD,Let Me Know (I Wonder Why Freestyle),78,16,3,3wwo0bJvDSorOpNfzEkfXx,True,77
"DJ Snake, J. Balvin & Tyga",Loco Contigo,95,19,2,6osaMSJh9NguagEDQcZaKx,False,82
