artist,track,peak_position,peak_position_grouped,weeks_in_charts,spotify_id,explicit,spotify_popularity
Travis Scott,Stargazing,8,2,8,7wBJfHzpfI3032CSD7CE2m,1.0,82
Juice WRLD,Lean Wit Me,68,14,8,3oDkdAySo1VQQG0ptV7uwa,1.0,81
Mac Miller,Self Care,33,7,3,5bJ1DrEM4hNCafcDd1oxHx,1.0,77
Eminem,The Ringer,8,2,4,2jt2WxXMCD4zjACthkJQVE,1.0,71
The Carters,Apes**t,13,3,15,0B08s1tLWCXoFmGP0vIubM,0.0,42
Brett Young,Mercy,29,6,20,2VIPU72L6tIR4w8J8ap6Kp,0.0,68
Carrie Underwood,Cry Pretty,48,10,12,7B9UAoGiN4iMCv4s40xoiM,0.0,56
Eminem,Kamikaze,16,4,3,2gsNpSn7VvvJuSrIDfRoYy,1.0,69
Bazzi,Mine,11,3,34,7uzmGiiJyRfuViKKK3lVmR,1.0,79
Mac Miller,Hurt Feelings,70,14,1,5p7GiBZNL1afJJDUrOA6C8,1.0,70
Eminem,Greatest,23,5,2,2XTquzYQAdT1Hk78bOUwsv,1.0,68
Mac Miller,Come Back To Earth,91,19,1,01z2fBGB8Hl3Jd3zXe4IXR,0.0,71
Childish Gambino,Feels Like Summer,54,11,2,7p4vHnYXkxlzvfePJVpcTr,0.0,73
Migos,Narcos,36,8,15,0wbnC9AUenxp613TYaJsGK,1.0,71
Eminem,Normal,39,8,1,0evt4UZbdhnHtcAnxkm6A1,1.0,64
Eminem,Stepping Stone,42,9,1,60Z57Wdrn0pEVpHI7d7GAX,1.0,64
Childish Gambino,Summertime Magic,44,9,5,4j3GWI86JvSaF0BLdmgcfF,0.0,71
Marshmello & Anne-Marie,Friends,11,3,29,08bNPGLD8AhKpnnERrAc6G,1.0,82
Camila Cabello,Never Be The Same,6,2,37,4eWQlBRaTjPPUlzacqEeoQ,0.0,73
Calvin Harris & Dua Lipa,One Kiss,26,6,21,7ef4DlsgrMEH11cDZd32M6,0.0,83
XXXTENTACION,Moonlight,13,3,20,0JP9xo3adEtGSdUEISiszL,1.0,85
Kenny Chesney,Get Along,22,5,21,6n6OQfBpCgzF9oEg8zhBN7,0.0,72
Ozuna,Unica,72,15,1,33b2wX9d0kxqxhi7lcsC1A,0.0,69
XXXTENTACION,Changes,18,4,20,7AFASza1mXqntmGtbxXprO,0.0,84
Zedd & Elley Duhe,Happy Now,90,18,1,7ir8cXuMAfXx9BCYkvYCz0,0.0,23
Ciara,Level Up,59,12,6,5ubwXXOsH9bUhZsQ0Cybha,0.0,69
Trippie Redd,Taking A Walk,46,10,3,4mHgYpuGHu99Mw69E83CP2,1.0,78
Drake,Mob Ties,13,3,8,7rC5Pl8rQSX4myONQHYPBK,1.0,72
Childish Gambino,This Is America,1,1,17,0b9oOr2ZgvyQu88wzixux9,1.0,80
Shawn Mendes,In My Blood,11,3,23,2QZ7WLBE8h2y1Y5Fb8RYbH,0.0,79
Ariana Grande,Sweetener,55,11,1,70khXICDeTTxgYtw3EysKH,1.0,68
Ariana Grande,Everytime,62,13,1,0WdR2AyLW1Drd3OUdwezM0,1.0,68
Ariana Grande,R.E.M,72,15,1,1xWH8zYtDeS9mW1JJG23VZ,1.0,68
Morgan Evans,Kiss Somebody,53,11,8,4f3fb3alVLFc8Ga4ncpg7x,0.0,68
Ariana Grande,Goodnight N Go,87,18,1,14kYOiFVPb7E7NfFbqhdln,1.0,71
Alessia Cara,Growing Pains,65,13,8,003eoIwxETJujVWmNFMoZy,0.0,55
Ariana Grande,Pete Davidson,99,20,1,0XOnMqLQDO89iAg7dWWwnG,1.0,63
Nicki Minaj,Chun-Li,10,2,16,1e4rwBPVI32vZtTJu7mJ4J,1.0,71
Cardi B,Be Careful,11,3,20,2Yl4OmDby9iitgNWZPwxkd,1.0,70
Travis Scott,Stop Trying To Be God,27,6,2,1xYpVRspgaLxdJLOTQkTjg,1.0,73
Travis Scott,R.I.P Screw,26,6,2,4SZepBIPDRwPaHIjAKwRDb,1.0,72
Travis Scott,No Bystanders,31,7,2,6OaVWaGfhXn70ZJfdVcabn,1.0,76
Travis Scott,Carousel,24,5,2,7KZ5MMVgBVox9ycroB2UrI,1.0,71
J. Cole,Album Of The Year (Freestyle),87,18,1,6rDaCGqcQB1urhpCrrD599,1.0,60
Travis Scott,5% Tint,36,8,2,11kDth1aKUEUMq9r1pqyds,1.0,72
Jason Mraz,Have It All,90,18,1,7BXW1QCg56yzEBV8pW8pah,0.0,66
Dennis Lloyd,Nevermind,86,18,4,63SevszngYpZOwf63o61K4,0.0,79
Travis Scott,NC-17,41,9,1,6BJbOXDlgVAXSaq6wYFYT2,1.0,69
Travis Scott,Who? What!,43,9,1,4KYS9GK68yeuUJ8vJfPxrq,1.0,70
